STATIONS_ID;MESS_DATUM;QN_3;   F;   D;eor
         11;2020093000;   10;   0.5; 250;eor
         11;2020093001;   10;   1.0; 190;eor
         11;2020093002;   10;   1.5; 130;eor
         11;2020093003;   10;   1.2; 170;eor
         11;2020093004;   10;   0.8; 190;eor
         11;2020093005;   10;   0.2; 210;eor
         11;2020093006;   10;   0.5; 270;eor
         11;2020093007;   10;   0.1; 130;eor
         11;2020093008;   10;   0.5; 150;eor
         11;2020093009;   10;   0.8; 140;eor
         11;2020093010;   10;   1.3; 150;eor
         11;2020093011;   10;   1.8; 180;eor
         11;2020093012;   10;   1.6; 220;eor
         11;2020093013;   10;   1.7; 200;eor
         11;2020093014;   10;   2.3; 190;eor
         11;2020093015;   10;   1.7; 180;eor
         11;2020093016;   10;   3.2; 170;eor
         11;2020093017;   10;   3.0; 170;eor
         11;2020093018;   10;   2.1; 170;eor
         11;2020093019;   10;   1.6; 150;eor
         11;2020093020;   10;   1.0;  90;eor
         11;2020093021;   10;   0.8; 200;eor
         11;2020093022;   10;   0.3; 100;eor
