STATIONS_ID;MESS_DATUM;QN_3;F;D;eor
        183;2021112200;   10;   5.5;  40;eor
        183;2021112201;   10;   4.2;  30;eor
        183;2021112202;   10;   3.8;  20;eor
        183;2021112203;   10;   3.3; 360;eor
        183;2021112204;   10;   3.6;  10;eor
        183;2021112205;   10;   3.5;  10;eor
        183;2021112206;   10;   4.0;  10;eor
        183;2021112207;   10;   4.4; 360;eor
        183;2021112208;   10;   3.4; 360;eor
        183;2021112209;   10;   3.1; 360;eor
        183;2021112210;   10;   2.9; 350;eor
        183;2021112211;   10;   4.9; 340;eor
        183;2021112212;   10;   4.4; 340;eor
        183;2021112213;   10;   5.4; 330;eor
        183;2021112214;   10;   5.9; 320;eor
        183;2021112215;   10;   5.3; 310;eor
        183;2021112216;   10;   4.9; 310;eor
        183;2021112217;   10;   5.2; 270;eor
        183;2021112218;   10;   6.2; 260;eor
        183;2021112219;   10;   7.0; 260;eor
        183;2021112220;   10;   7.5; 240;eor
        183;2021112221;   10;   7.8; 230;eor
        183;2021112222;   10;   9.1; 240;eor
        183;2021112223;   10;  10.1; 250;eor
        183;2021112300;   10;   9.6; 250;eor
        183;2021112301;   10;  10.9; 270;eor
        183;2021112302;   10;  11.7; 270;eor
        183;2021112303;   10;  10.3; 280;eor
        183;2021112304;   10;   8.0; 300;eor
        183;2021112305;   10;   7.5; 300;eor
        183;2021112306;   10;   7.2; 300;eor
        183;2021112307;   10;   6.4; 290;eor
        183;2021112308;   10;   6.0; 300;eor
        183;2021112309;   10;   5.6; 290;eor
        183;2021112310;   10;   6.6; 290;eor
        183;2021112311;   10;   6.8; 280;eor
        183;2021112312;   10;   6.9; 280;eor
        183;2021112313;   10;   7.5; 280;eor
        183;2021112314;   10;   7.2; 270;eor
        183;2021112315;   10;   6.1; 280;eor
        183;2021112316;   10;   7.5; 280;eor
        183;2021112317;   10;   7.6; 290;eor
        183;2021112318;   10;   8.1; 280;eor
        183;2021112319;   10;   9.4; 270;eor
        183;2021112320;   10;  10.5; 280;eor
        183;2021112321;   10;  10.8; 280;eor
        183;2021112322;   10;  10.1; 280;eor
        183;2021112323;   10;  10.1; 280;eor
        183;2021112400;   10;  10.3; 270;eor
        183;2021112401;   10;  10.0; 280;eor
        183;2021112402;   10;   8.9; 290;eor
        183;2021112403;   10;   8.3; 290;eor
        183;2021112404;   10;   7.8; 300;eor
        183;2021112405;   10;   9.0; 290;eor
        183;2021112406;   10;   8.9; 290;eor
        183;2021112407;   10;   9.5; 290;eor
        183;2021112408;   10;   8.5; 290;eor
        183;2021112409;   10;   9.0; 280;eor
        183;2021112410;   10;   9.3; 280;eor
        183;2021112411;   10;   9.9; 270;eor
        183;2021112412;   10;   9.4; 270;eor
        183;2021112413;   10;   9.5; 270;eor
        183;2021112414;   10;   8.1; 270;eor
        183;2021112415;   10;   6.8; 260;eor
        183;2021112416;   10;   6.9; 260;eor
        183;2021112417;   10;   6.7; 250;eor
        183;2021112418;   10;   6.9; 240;eor
        183;2021112419;   10;   7.9; 230;eor
        183;2021112420;   10;   8.4; 230;eor
        183;2021112421;   10;   7.7; 230;eor
        183;2021112422;   10;   6.9; 230;eor
        183;2021112423;   10;   6.9; 230;eor
        183;2021112500;   10;   7.9; 230;eor
        183;2021112501;   10;   7.7; 230;eor
        183;2021112502;   10;   7.9; 230;eor
        183;2021112503;   10;   8.3; 230;eor
        183;2021112504;   10;   8.9; 230;eor
        183;2021112505;   10;   7.5; 230;eor
        183;2021112506;   10;   8.2; 230;eor
        183;2021112507;   10;   8.5; 230;eor
        183;2021112508;   10;   7.8; 230;eor
        183;2021112509;   10;   8.0; 230;eor
        183;2021112510;   10;   8.1; 230;eor
        183;2021112511;   10;   8.6; 230;eor
        183;2021112512;   10;   9.2; 230;eor
        183;2021112513;   10;   9.7; 230;eor
        183;2021112514;   10;   9.9; 230;eor
        183;2021112515;   10;  10.0; 230;eor
        183;2021112516;   10;   9.8; 230;eor
        183;2021112517;   10;  10.0; 230;eor
        183;2021112518;   10;  10.0; 260;eor
        183;2021112519;   10;  12.8; 260;eor
        183;2021112520;   10;  13.7; 270;eor
        183;2021112521;   10;  14.0; 270;eor
        183;2021112522;   10;  12.4; 270;eor
        183;2021112523;   10;  12.4; 270;eor
        183;2021112600;   10;  12.1; 270;eor
        183;2021112601;   10;  11.5; 270;eor
        183;2021112602;   10;  10.4; 270;eor
        183;2021112603;   10;   9.3; 270;eor
        183;2021112604;   10;  10.2; 270;eor
        183;2021112605;   10;   9.4; 270;eor
        183;2021112606;   10;   8.9; 260;eor
        183;2021112607;   10;   6.9; 240;eor
        183;2021112608;   10;   7.9; 220;eor
        183;2021112609;   10;   7.6; 230;eor
        183;2021112610;   10;   7.9; 230;eor
        183;2021112611;   10;   7.6; 230;eor
        183;2021112612;   10;   7.4; 220;eor
        183;2021112613;   10;   7.3; 220;eor
        183;2021112614;   10;   5.9; 210;eor
        183;2021112615;   10;   5.7; 210;eor
        183;2021112616;   10;   5.3; 220;eor
        183;2021112617;   10;   4.2; 210;eor
        183;2021112618;   10;   5.7; 200;eor
        183;2021112619;   10;   6.3; 200;eor
        183;2021112620;   10;   7.5; 200;eor
        183;2021112621;   10;   5.9; 180;eor
        183;2021112622;   10;   5.5; 180;eor
        183;2021112623;   10;   4.4; 180;eor
        183;2021112700;   10;   5.0; 160;eor
        183;2021112701;   10;   6.1; 160;eor
        183;2021112702;   10;   5.7; 160;eor
        183;2021112703;   10;   6.9; 140;eor
        183;2021112704;   10;   6.1; 150;eor
        183;2021112705;   10;   5.9; 160;eor
        183;2021112706;   10;   6.3; 150;eor
        183;2021112707;   10;   5.2; 150;eor
        183;2021112708;   10;   4.8; 160;eor
        183;2021112709;   10;   5.9; 150;eor
        183;2021112710;   10;   6.4; 150;eor
        183;2021112711;   10;   6.5; 150;eor
        183;2021112712;   10;   6.1; 140;eor
        183;2021112713;   10;   5.9; 130;eor
        183;2021112714;   10;   6.2; 130;eor
        183;2021112715;   10;   6.8; 130;eor
        183;2021112716;   10;   7.0; 140;eor
        183;2021112717;   10;   6.4; 130;eor
        183;2021112718;   10;   6.0; 150;eor
        183;2021112719;   10;   5.6; 150;eor
        183;2021112720;   10;   6.1; 150;eor
        183;2021112721;   10;   5.7; 150;eor
        183;2021112722;   10;   3.9; 170;eor
        183;2021112723;   10;   3.3; 170;eor
        183;2021112800;   10;   3.4; 180;eor
        183;2021112801;   10;   2.7; 200;eor
        183;2021112802;   10;   4.0; 240;eor
        183;2021112803;   10;   4.0; 240;eor
        183;2021112804;   10;   4.6; 230;eor
        183;2021112805;   10;   3.2; 240;eor
        183;2021112806;   10;   4.3; 220;eor
        183;2021112807;   10;   5.9; 220;eor
        183;2021112808;   10;   6.1; 220;eor
