val,perc,sel_perc
6.12,2.14,2
6.1,3.74,4
6.08,5.88,6
6.07,8.02,8
6.06,10.16,10
6.05,11.76,12
6.05,13.9,14
6.04,16.04,16
6.04,18.18,18
6.04,19.79,20
6.03,21.93,22
6.03,24.06,24
6.03,26.2,26
6.03,27.81,28
6.02,29.95,30
6.02,32.09,32
6.02,34.22,34
6.02,35.83,36
6.02,37.97,38
6.01,40.11,40
6.01,42.25,42
6.01,43.85,44
6.01,45.99,46
6.01,48.13,48
6,50.27,50
6,51.87,52
6,54.01,54
6,56.15,56
6,57.75,58
6,59.89,60
6,62.03,62
6,64.17,64
5.99,65.78,66
5.99,67.91,68
5.99,70.05,70
5.99,72.19,72
5.99,73.8,74
5.99,75.94,76
5.99,78.07,78
5.99,80.21,80
5.98,81.82,82
5.98,83.96,84
5.98,86.1,86
5.98,88.24,88
5.98,89.84,90
5.98,91.98,92
5.97,94.12,94
5.97,96.26,96
5.97,97.86,98
5.97,100,100
